Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.84     0.00     4345     0.00     0.00  Assignparam_106255
  0.00      3.84     0.00     4332     0.00     0.00  Gettemp_106073
  0.00      3.84     0.00     4264     0.00     0.00  Semarrayaccess_89410
  0.00      3.84     0.00     4176     0.00     0.00  Prepend_30043
  0.00      3.84     0.00     4040     0.00     0.00  Levalue_33388
  0.00      3.84     0.00     3900     0.00     0.00  Tohex_13195
  0.00      3.84     0.00     3838     0.00     0.00  Analyseifaddresstaken_87710
  0.00      3.84     0.00     3838     0.00     0.00  Newhiddenaddrtaken_87695
  0.00      3.84     0.00     3803     0.00     0.00  Sembranchexpr_85050
  0.00      3.84     0.00     3760     0.00     0.00  Getid_33211
  0.00      3.84     0.00     3709     0.00     0.00  Mustrehash_36216
  0.00      3.84     0.00     3569     0.00     0.00  Getstrlit_106369
  0.00      3.84     0.00     3555     0.00     0.00  Semset_84280
  0.00      3.84     0.00     3480     0.00     0.00  Addrloc_106663
  0.00      3.84     0.00     3460     0.00     0.00  Genifstmt_112164
  0.00      3.84     0.00     3367     0.00     0.00  Genseqelem_107932
  0.00      3.84     0.00     3359     0.00     0.00  Genconstexpr_110262
  0.00      3.84     0.00     3265     0.00     0.00  Isimportedtype_104634
  0.00      3.84     0.00     3237     0.00     0.00  Semsetconstr_90008
  0.00      3.84     0.00     3206     0.00     0.00  Semidentwithpragma_81054
  0.00      3.84     0.00     3185     0.00     0.00  Parseiforwhen_47512
  0.00      3.84     0.00     3147     0.00     0.00  Parseparamlist_47241
  0.00      3.84     0.00     3050     0.00     0.00  Semif_91692
  0.00      3.84     0.00     3001     0.00     0.00  Rdsetelemloc_109136
  0.00      3.84     0.00     2966     0.00     0.00  Astneeded_65041
  0.00      3.84     0.00     2955     0.00     0.00  Bitsetinit_63010
  0.00      3.84     0.00     2955     0.00     0.00  Tobitset_64001
  0.00      3.84     0.00     2932     0.00     0.00  Semproc_95831
  0.00      3.84     0.00     2872     0.00     0.00  Gensetconstr_110290
  0.00      3.84     0.00     2872     0.00     0.00  Gensetnode_106578
  0.00      3.84     0.00     2864     0.00     0.00  Binaryexprin_109168
  0.00      3.84     0.00     2864     0.00     0.00  Geninexpraux_107517
  0.00      3.84     0.00     2862     0.00     0.00  Newstrnode_33244
  0.00      3.84     0.00     2853     0.00     0.00  Cleanup_124040
  0.00      3.84     0.00     2853     0.00     0.00  Parsetoplevelstmt_47037
  0.00      3.84     0.00     2853     0.00     0.00  Processtransf_128229
  0.00      3.84     0.00     2809     0.00     0.00  Scancomment_45734
  0.00      3.84     0.00     2793     0.00     0.00  Myprocess_115496
  0.00      3.84     0.00     2793     0.00     0.00  Myprocess_96393
  0.00      3.84     0.00     2793     0.00     0.00  Verboseprocess_124013
  0.00      3.84     0.00     2784     0.00     0.00  Exprcoloneqexprlist_47335
  0.00      3.84     0.00     2766     0.00     0.00  Addinterfacedecl_68042
  0.00      3.84     0.00     2566     0.00     0.00  Gencheckedrecordfield_107525
  0.00      3.84     0.00     2510     0.00     0.00  Checkpar_90339
  0.00      3.84     0.00     2459     0.00     0.00  Semcasebranch_85076
  0.00      3.84     0.00     2453     0.00     0.00  Getnimnode_105306
  0.00      3.84     0.00     2371     0.00     0.00  Existsfile_16218
  0.00      3.84     0.00     2356     0.00     0.00  Newproc_104152
  0.00      3.84     0.00     2318     0.00     0.00  Tofilename_25614
  0.00      3.84     0.00     2304     0.00     0.00  Genproc_106325
  0.00      3.84     0.00     2296     0.00     0.00  Con_30029
  0.00      3.84     0.00     2280     0.00     0.00  Addinterfaceoverloadablesymat_68046
  0.00      3.84     0.00     2280     0.00     0.00  Symtabaddat_36139
  0.00      3.84     0.00     2128     0.00     0.00  nimIntToStr
  0.00      3.84     0.00     2118     0.00     0.00  Getframedecl_114735
  0.00      3.84     0.00     2109     0.00     0.00  Parseexpr_47019
  0.00      3.84     0.00     2060     0.00     0.00  Transformconv_126772
  0.00      3.84     0.00     2051     0.00     0.00  Genvarstmt_111957
